index	name	red	green	blue	alpha
208	L_STV_ROI	133.0	83.0	74.0	255.0
209	L_7Pm_ROI	152.0	184.0	187.0	255.0
210	L_7m_ROI	34.0	36.0	37.0	255.0
211	L_POS1_ROI	79.0	57.0	88.0	255.0
212	L_23d_ROI	111.0	56.0	81.0	255.0
213	L_v23ab_ROI	19.0	0.0	8.0	255.0
214	L_d23ab_ROI	67.0	28.0	50.0	255.0
215	L_31pv_ROI	48.0	17.0	41.0	255.0
216	L_5m_ROI	38.0	166.0	49.0	255.0
217	L_5mv_ROI	144.0	172.0	132.0	255.0
218	L_23c_ROI	207.0	188.0	191.0	255.0
219	L_5L_ROI	53.0	158.0	66.0	255.0
220	L_24dd_ROI	59.0	160.0	38.0	255.0
221	L_24dv_ROI	119.0	155.0	67.0	255.0
222	L_7AL_ROI	105.0	197.0	136.0	255.0
223	L_SCEF_ROI	100.0	144.0	83.0	255.0
224	L_6ma_ROI	140.0	174.0	134.0	255.0
225	L_7Am_ROI	177.0	244.0	223.0	255.0
226	L_7PL_ROI	173.0	255.0	239.0	255.0
227	L_7PC_ROI	62.0	176.0	108.0	255.0
228	L_LIPv_ROI	63.0	112.0	164.0	255.0
229	L_VIP_ROI	46.0	142.0	139.0	255.0
230	L_MIP_ROI	130.0	204.0	200.0	255.0
231	L_1_ROI	11.0	194.0	35.0	255.0
232	L_2_ROI	44.0	176.0	63.0	255.0
233	L_3a_ROI	44.0	221.0	22.0	255.0
234	L_6d_ROI	22.0	161.0	35.0	255.0
235	L_6mp_ROI	62.0	161.0	42.0	255.0
236	L_6v_ROI	67.0	171.0	53.0	255.0
237	L_p24pr_ROI	133.0	131.0	99.0	255.0
238	L_33pr_ROI	129.0	112.0	101.0	255.0
239	L_a24pr_ROI	159.0	123.0	118.0	255.0
240	L_p32pr_ROI	151.0	138.0	116.0	255.0
241	L_a24_ROI	65.0	11.0	21.0	255.0
242	L_d32_ROI	91.0	41.0	47.0	255.0
243	L_8BM_ROI	108.0	81.0	82.0	255.0
244	L_p32_ROI	93.0	33.0	52.0	255.0
245	L_10r_ROI	20.0	5.0	0.0	255.0
246	L_47m_ROI	100.0	82.0	77.0	255.0
247	L_8Av_ROI	55.0	57.0	47.0	255.0
248	L_8Ad_ROI	62.0	62.0	47.0	255.0
249	L_9m_ROI	37.0	39.0	22.0	255.0
250	L_8BL_ROI	24.0	38.0	18.0	255.0
251	L_9p_ROI	37.0	41.0	28.0	255.0
252	L_10d_ROI	32.0	35.0	27.0	255.0
253	L_8C_ROI	99.0	79.0	83.0	255.0
254	L_44_ROI	72.0	83.0	56.0	255.0
255	L_45_ROI	46.0	64.0	41.0	255.0
256	L_47l_ROI	39.0	50.0	30.0	255.0
257	L_a47r_ROI	81.0	74.0	69.0	255.0
258	L_6r_ROI	172.0	205.0	147.0	255.0
259	L_IFJa_ROI	115.0	107.0	92.0	255.0
260	L_IFJp_ROI	128.0	141.0	122.0	255.0
261	L_IFSp_ROI	101.0	98.0	92.0	255.0
262	L_IFSa_ROI	186.0	189.0	175.0	255.0
263	L_p9-46v_ROI	140.0	144.0	136.0	255.0
264	L_46_ROI	202.0	211.0	196.0	255.0
265	L_a9-46v_ROI	140.0	110.0	130.0	255.0
266	L_9-46d_ROI	129.0	112.0	127.0	255.0
267	L_9a_ROI	47.0	54.0	47.0	255.0
268	L_10v_ROI	3.0	31.0	11.0	255.0
269	L_a10p_ROI	92.0	67.0	82.0	255.0
270	L_10pp_ROI	54.0	51.0	56.0	255.0
271	L_11l_ROI	129.0	106.0	119.0	255.0
272	L_13l_ROI	88.0	63.0	74.0	255.0
273	L_OFC_ROI	40.0	39.0	35.0	255.0
274	L_47s_ROI	62.0	38.0	35.0	255.0
275	L_LIPd_ROI	155.0	172.0	203.0	255.0
276	L_6a_ROI	122.0	192.0	136.0	255.0
277	L_i6-8_ROI	98.0	101.0	90.0	255.0
278	L_s6-8_ROI	93.0	90.0	76.0	255.0
279	L_43_ROI	134.0	137.0	61.0	255.0
280	L_OP4_ROI	98.0	151.0	42.0	255.0
281	L_OP1_ROI	94.0	153.0	38.0	255.0
282	L_OP2-3_ROI	134.0	119.0	50.0	255.0
283	L_52_ROI	208.0	76.0	61.0	255.0
284	L_RI_ROI	166.0	69.0	25.0	255.0
285	L_PFcm_ROI	178.0	145.0	90.0	255.0
286	L_PoI2_ROI	123.0	127.0	81.0	255.0
287	L_TA2_ROI	126.0	40.0	23.0	255.0
288	L_FOP4_ROI	169.0	138.0	122.0	255.0
289	L_MI_ROI	149.0	111.0	104.0	255.0
290	L_Pir_ROI	91.0	71.0	65.0	255.0
291	L_AVI_ROI	133.0	70.0	83.0	255.0
292	L_AAIC_ROI	85.0	34.0	40.0	255.0
293	L_FOP1_ROI	142.0	144.0	78.0	255.0
294	L_FOP3_ROI	173.0	133.0	100.0	255.0
295	L_FOP2_ROI	98.0	156.0	57.0	255.0
296	L_PFt_ROI	136.0	223.0	141.0	255.0
297	L_AIP_ROI	138.0	219.0	165.0	255.0
298	L_EC_ROI	47.0	50.0	39.0	255.0
299	L_PreS_ROI	96.0	61.0	89.0	255.0
300	L_H_ROI	63.0	57.0	45.0	255.0
301	L_ProS_ROI	92.0	71.0	176.0	255.0
302	L_PeEc_ROI	62.0	65.0	57.0	255.0
303	L_STGa_ROI	47.0	46.0	24.0	255.0
304	L_PBelt_ROI	188.0	26.0	8.0	255.0
305	L_A5_ROI	90.0	44.0	10.0	255.0
306	L_PHA1_ROI	71.0	53.0	84.0	255.0
307	L_PHA3_ROI	106.0	104.0	124.0	255.0
308	L_STSda_ROI	63.0	53.0	35.0	255.0
309	L_STSdp_ROI	57.0	58.0	35.0	255.0
310	L_STSvp_ROI	64.0	53.0	52.0	255.0
311	L_TGd_ROI	28.0	37.0	24.0	255.0
312	L_TE1a_ROI	3.0	15.0	1.0	255.0
313	L_TE1p_ROI	104.0	100.0	97.0	255.0
314	L_TE2a_ROI	68.0	64.0	60.0	255.0
315	L_TF_ROI	61.0	71.0	56.0	255.0
316	L_TE2p_ROI	114.0	141.0	128.0	255.0
317	L_PHT_ROI	233.0	251.0	228.0	255.0
318	L_PH_ROI	84.0	120.0	161.0	255.0
319	L_TPOJ1_ROI	118.0	92.0	69.0	255.0
320	L_TPOJ2_ROI	152.0	154.0	139.0	255.0
321	L_TPOJ3_ROI	118.0	136.0	146.0	255.0
