index	name	red	green	blue	alpha
122	7Networks_LH_Limbic_TempPole_4	220.0	248.0	171.0	255.0
123	7Networks_LH_Limbic_TempPole_5	220.0	248.0	172.0	255.0
124	7Networks_LH_Limbic_TempPole_6	220.0	249.0	165.0	255.0
125	7Networks_LH_Limbic_TempPole_7	220.0	249.0	166.0	255.0
126	7Networks_LH_Limbic_TempPole_8	220.0	249.0	167.0	255.0
127	7Networks_LH_Cont_Par_1	230.0	148.0	33.0	255.0
128	7Networks_LH_Cont_Par_2	230.0	148.0	35.0	255.0
129	7Networks_LH_Cont_Par_3	230.0	148.0	36.0	255.0
130	7Networks_LH_Cont_Par_4	230.0	148.0	37.0	255.0
131	7Networks_LH_Cont_Par_5	230.0	148.0	38.0	255.0
132	7Networks_LH_Cont_Par_6	230.0	148.0	39.0	255.0
133	7Networks_LH_Cont_Temp_1	230.0	148.0	40.0	255.0
134	7Networks_LH_Cont_OFC_1	230.0	149.0	32.0	255.0
135	7Networks_LH_Cont_PFCl_1	230.0	149.0	33.0	255.0
136	7Networks_LH_Cont_PFCl_2	230.0	149.0	34.0	255.0
137	7Networks_LH_Cont_PFCl_3	230.0	149.0	36.0	255.0
138	7Networks_LH_Cont_PFCl_4	230.0	149.0	37.0	255.0
139	7Networks_LH_Cont_PFCl_5	230.0	149.0	38.0	255.0
140	7Networks_LH_Cont_PFCl_6	230.0	149.0	39.0	255.0
141	7Networks_LH_Cont_PFCl_7	230.0	149.0	40.0	255.0
142	7Networks_LH_Cont_PFCl_8	230.0	149.0	41.0	255.0
143	7Networks_LH_Cont_PFCv_1	231.0	148.0	36.0	255.0
144	7Networks_LH_Cont_pCun_1	231.0	149.0	35.0	255.0
145	7Networks_LH_Cont_pCun_2	231.0	149.0	36.0	255.0
146	7Networks_LH_Cont_Cing_1	231.0	149.0	37.0	255.0
147	7Networks_LH_Cont_Cing_2	231.0	149.0	38.0	255.0
148	7Networks_LH_Cont_PFCmp_1	230.0	148.0	34.0	255.0
149	7Networks_LH_Default_Temp_1	205.0	62.0	72.0	255.0
150	7Networks_LH_Default_Temp_2	205.0	62.0	73.0	255.0
151	7Networks_LH_Default_Temp_3	205.0	62.0	74.0	255.0
152	7Networks_LH_Default_Temp_4	205.0	62.0	75.0	255.0
153	7Networks_LH_Default_Temp_5	205.0	62.0	76.0	255.0
154	7Networks_LH_Default_Temp_6	205.0	62.0	77.0	255.0
155	7Networks_LH_Default_Temp_7	205.0	62.0	78.0	255.0
156	7Networks_LH_Default_Temp_8	205.0	62.0	80.0	255.0
157	7Networks_LH_Default_Temp_9	205.0	62.0	81.0	255.0
158	7Networks_LH_Default_Temp_10	205.0	62.0	82.0	255.0
159	7Networks_LH_Default_Par_1	205.0	62.0	83.0	255.0
160	7Networks_LH_Default_Par_2	205.0	62.0	84.0	255.0
161	7Networks_LH_Default_Par_3	205.0	62.0	85.0	255.0
162	7Networks_LH_Default_Par_4	205.0	62.0	86.0	255.0
163	7Networks_LH_Default_Par_5	205.0	63.0	79.0	255.0
164	7Networks_LH_Default_Par_6	205.0	63.0	80.0	255.0
165	7Networks_LH_Default_Par_7	205.0	63.0	81.0	255.0
166	7Networks_LH_Default_PFC_1	205.0	63.0	71.0	255.0
167	7Networks_LH_Default_PFC_2	205.0	63.0	72.0	255.0
168	7Networks_LH_Default_PFC_3	205.0	63.0	73.0	255.0
169	7Networks_LH_Default_PFC_4	205.0	63.0	74.0	255.0
170	7Networks_LH_Default_PFC_5	205.0	63.0	75.0	255.0
171	7Networks_LH_Default_PFC_6	205.0	63.0	76.0	255.0
172	7Networks_LH_Default_PFC_7	205.0	63.0	77.0	255.0
173	7Networks_LH_Default_PFC_8	205.0	63.0	82.0	255.0
174	7Networks_LH_Default_PFC_9	205.0	63.0	83.0	255.0
175	7Networks_LH_Default_PFC_10	205.0	63.0	84.0	255.0
176	7Networks_LH_Default_PFC_11	205.0	63.0	85.0	255.0
177	7Networks_LH_Default_PFC_12	205.0	64.0	78.0	255.0
178	7Networks_LH_Default_PFC_13	205.0	64.0	79.0	255.0
179	7Networks_LH_Default_PFC_14	205.0	64.0	80.0	255.0
